ID,name,href,docket_number,term
60321,Oyler v. Boles,https://api.oyez.org/cases/1961/56,56,1961
60323,Nostrand v. Little,https://api.oyez.org/cases/1961/571,571,1961
60324,Hodges v. United States,https://api.oyez.org/cases/1961/58,58,1961
60325,Richards v. United States,https://api.oyez.org/cases/1961/59,59,1961
60326,"Drake Bakeries Incorporated v. Local 50, American Bakery & Confectionery Workers International, AFL-CIO",https://api.oyez.org/cases/1961/598,598,1961
60327,Gibson v. Florida Legislative Investigation Committee,https://api.oyez.org/cases/1961/6,6,1961
60328,Turnbow v. Commissioner of Internal Revenue,https://api.oyez.org/cases/1961/60,60,1961
60329,Porter v. Aetna Casualty & Surety Company,https://api.oyez.org/cases/1961/604,604,1961
60331,United Gas Pipe Line Company v. Ideal Cement Company,https://api.oyez.org/cases/1961/61,61,1961
60332,Seymour v. Superintendent of Washington State Penitentiary,https://api.oyez.org/cases/1961/62,62,1961
60335,Chewning v. Cunningham,https://api.oyez.org/cases/1961/63,63,1961
60337,Fong Foo v. United States,https://api.oyez.org/cases/1961/64,64,1961
60338,Bailey v. Patterson,https://api.oyez.org/cases/1961/643,643,1961
60339,Beard v. Stahr,https://api.oyez.org/cases/1961/648,648,1961
60341,Blau v. Lehman,https://api.oyez.org/cases/1961/66,66,1961
60342,Hill v. United States,https://api.oyez.org/cases/1961/68,68,1961
60344,Machibroda v. United States,https://api.oyez.org/cases/1961/69,69,1961
60346,Killian v. United States,https://api.oyez.org/cases/1961/7,7,1961
60347,Cramp v. Board of Public Instruction or Orange County,https://api.oyez.org/cases/1961/72,72,1961
60350,"Retail Clerks International Association, Local Unions",https://api.oyez.org/cases/1961/73,73,1961
60351,Federal Trade Commission v. Henry Broch & Company,https://api.oyez.org/cases/1961/74,74,1961
60353,Venus v. United States,https://api.oyez.org/cases/1961/75,75,1961
60354,National Labor Relations Board v. Walton Manufacturing Company,https://api.oyez.org/cases/1961/77,77,1961
60355,Taylor v. Louisiana,https://api.oyez.org/cases/1961/773,773,1961
60356,Goldblatt v. Town of Hempstead,https://api.oyez.org/cases/1961/78,78,1961
60359,"Lehigh Valley Cooperative Farmers, Inc. v. United States",https://api.oyez.org/cases/1961/79,79,1961
60360,Russell v. United States,https://api.oyez.org/cases/1961/8,8,1961
60361,Griggs v. Allegheny County,https://api.oyez.org/cases/1961/81,81,1961
60364,Simonson v. Granquist,https://api.oyez.org/cases/1961/83,83,1961
60365,"W. M. C. A., Inc. v. Simon",https://api.oyez.org/cases/1961/836,836,1961
60366,Turner v. City of Memphis,https://api.oyez.org/cases/1961/84,84,1961
60371,Townsend v. Sain,https://api.oyez.org/cases/1962/8,8,1962
60372,Arizona v. California,https://api.oyez.org/cases/1961/8_orig,8-orig,1961
60385,"New Jersey v. New York, Susquehanna & Western Railroad Company",https://api.oyez.org/cases/1962/104,104,1962
60387,McCulloch v. Sociedad Nacional de Marineros de Honduras,https://api.oyez.org/cases/1962/107,107,1962
60388,"Interstate Commerce Commission v. New York, New Haven & Hartford R. Company",https://api.oyez.org/cases/1962/108,108,1962
60389,Jacobellis v. Ohio,https://api.oyez.org/cases/1963/11,11,1963
60390,Ferguson v. Skrupa,https://api.oyez.org/cases/1962/111,111,1962
60391,Gray v. Sanders,https://api.oyez.org/cases/1962/112,112,1962
